Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
ONE CONTACT BOGOTA-RUSSI CARDENAS GIANCARLO-T&T-R2,TMK,JEAN CARLO RUSSI,TMK-T&T,R2 REGION NOROCCIDENTE-T&T,R2,ONE CONTACT
ONE CONTACT BOGOTA-RUSSI CARDENAS GIANCARLO-T&T-R3,TMK,JEAN CARLO RUSSI,TMK-T&T,R3 REGION OCCIDENTE-T&T,R3,ONE CONTACT
ONE CONTACT BOGOTA-RUSSI CARDENAS GIANCARLO-T&T-R4,TMK,JEAN CARLO RUSSI,TMK-T&T,R4 REGION CENTRO-T&T,R4,ONE CONTACT
ONE CONTACT BOGOTA-RUSSI CARDENAS GIANCARLO-T&T-R5,TMK,JEAN CARLO RUSSI,TMK-T&T,R5 REGION ORIENTE-T&T,R5,ONE CONTACT
ONE CONTACT BQUILLA-JAIRO MACHADO-MOVIL PORTABILIDAD-R1,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R1 REGION COSTA-JAIRO MACHADO-MOVIL PORTABILIDAD,R1,ONE CONTACT
ONE CONTACT MEDELLIN-JAIRO MACHADO-MOVIL PORTABILIDAD-R2,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R2 REGION NOROCCIDENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R2,ONE CONTACT
ONE CONTACT MEDELLIN-JENNIFER ARIAS-HOGAR-R2,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R2 REGION NOROCCIDENTE-JENNIFER ARIAS-HOGAR,R2,ONE CONTACT
ONE CONTACT URABA-JAIRO MACHADO-MOVIL PORTABILIDAD-R2,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R2 REGION NOROCCIDENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R2,ONE CONTACT
ONE CONTACT URABA-JENNIFER ARIAS-HOGAR-R2,TMK,JENNIFER ARIAS,TMK-JENNIFER ARIAS-HOGAR,R2 REGION NOROCCIDENTE-JENNIFER ARIAS-HOGAR,R2,ONE CONTACT
ONE CONTACT-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,ONE CONTACT
ONSALES-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,ONSALES
OPCOM SAS-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,OPCOM SAS
OPCOM SAS-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,OPCOM SAS
OPERCEL-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,OPERCEL
OSCARCELL S.M-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,OSCARCELL S.M
OVAL-CELL-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,OVAL
PANAMERICANA-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,PANAMERICANA
PANAMERICANA-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,PANAMERICANA
PANAMERICANA-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,PANAMERICANA
PANAMERICANA-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,PANAMERICANA
PANAMERICANA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,PANAMERICANA
PEDRO ALFONSO GALVIS RINCON (SAMSUNG TIME 27)-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,PEDRO ALFONSO GALVIS RINCON (SAMSUNG TIME 27)
PHONEMOVIL-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,PHONEMOVIL
PHONEMOVIL-R3-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R3 REGION OCCIDENTE-PDV,R3,PHONEMOVIL
PLIEGUES Y EMPAQUES-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,PLIEGUES Y EMPAQUES
PLUG CONECTION-CALLE-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R1 REGION COSTA-CALLE,R1,PLUG CONECTION
PLUG CONECTION-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,PLUG CONECTION
PLUG CONECTION-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,PLUG CONECTION
PLUG CONECTION-CALLE-R4-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R4 REGION CENTRO-CALLE,R4,PLUG CONECTION
PLUG CONECTION-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,PLUG CONECTION
PLUG CONECTION-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,PLUG CONECTION
PLUG CONECTION-PDV-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,PLUG CONECTION
